六月 02, 2017 10:00:47 上午 org.apache.karaf.main.Main launch
信息: Installing and starting initial bundles
六月 02, 2017 10:00:47 上午 org.apache.karaf.main.Main launch
信息: All initial bundles installed and set to start
六月 02, 2017 10:00:47 上午 org.apache.karaf.main.lock.SimpleFileLock lock
信息: Trying to lock D:\java-develop\tools\apache-karaf\lock
六月 02, 2017 10:00:47 上午 org.apache.karaf.main.lock.SimpleFileLock lock
信息: Lock acquired
六月 02, 2017 10:00:47 上午 org.apache.karaf.main.Main$KarafLockCallback lockAquired
信息: Lock acquired. Setting startlevel to 100
2017-06-02T10:00:48,150 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from jmx.acl.org.apache.karaf.security.jmx.cfg
2017-06-02T10:00:48,657 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from org.apache.karaf.jaas.cfg
2017-06-02T10:00:48,678 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from jmx.acl.hawtio.plugin.cfg
2017-06-02T10:00:48,695 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from ConfigNewMessageCountPool.cfg
2017-06-02T10:00:48,711 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from org.apache.karaf.command.acl.feature.cfg
2017-06-02T10:00:48,727 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from org.ops4j.pax.url.war.cfg
2017-06-02T10:00:48,742 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from ConfigRedis.cfg
2017-06-02T10:00:48,758 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from jmx.acl.cfg
2017-06-02T10:00:48,779 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from config.schedule.app.cfg
2017-06-02T10:00:48,800 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from ConfigScheduleDict.cfg
2017-06-02T10:00:48,825 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from org.apache.karaf.command.acl.kar.cfg
2017-06-02T10:00:48,841 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from org.apache.karaf.command.acl.scope_bundle.cfg
2017-06-02T10:00:48,857 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from org.apache.karaf.command.acl.system.cfg
2017-06-02T10:00:48,874 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from config.admin.dict.cfg
2017-06-02T10:00:48,883 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.5.8 | Creating configuration from org.ops4j.datasource-kalix.cfg
2017-06-02T10:00:49,320 | INFO  | FelixStartLevel  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 | Adding features: instance/[4.1.1,4.1.1], package/[4.1.1,4.1.1], log/[4.1.1,4.1.1], ssh/[4.1.1,4.1.1], aries-blueprint/[4.1.1,4.1.1], framework/[4.1.1,4.1.1], system/[4.1.1,4.1.1], eventadmin/[4.1.1,4.1.1], feature/[4.1.1,4.1.1], shell/[4.1.1,4.1.1], management/[4.1.1,4.1.1], service/[4.1.1,4.1.1], jaas/[4.1.1,4.1.1], shell-compat/[4.1.1,4.1.1], deployer/[4.1.1,4.1.1], diagnostic/[4.1.1,4.1.1], wrap/[0,0.0.0], bundle/[4.1.1,4.1.1], config/[4.1.1,4.1.1], kar/[4.1.1,4.1.1]
2017-06-02T10:00:49,562 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 | Changes to perform:
2017-06-02T10:00:49,562 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   Region: root
2017-06-02T10:00:49,563 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |     Bundles to install:
2017-06-02T10:00:49,563 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2017-06-02T10:00:49,563 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.1.0
2017-06-02T10:00:49,563 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.8.0
2017-06-02T10:00:49,563 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2017-06-02T10:00:49,564 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.1.5
2017-06-02T10:00:49,564 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.1.5
2017-06-02T10:00:49,564 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.7
2017-06-02T10:00:49,564 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.1.5
2017-06-02T10:00:49,564 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.0
2017-06-02T10:00:49,565 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2017-06-02T10:00:49,565 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.1.1
2017-06-02T10:00:49,565 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.1.1
2017-06-02T10:00:49,565 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.1.1
2017-06-02T10:00:49,565 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.1.1
2017-06-02T10:00:49,565 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.1.1
2017-06-02T10:00:49,566 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.1.1
2017-06-02T10:00:49,566 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.1.1
2017-06-02T10:00:49,566 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.1.1
2017-06-02T10:00:49,566 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf/org.apache.karaf.event/4.1.1
2017-06-02T10:00:49,566 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.1.1
2017-06-02T10:00:49,567 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.1.1
2017-06-02T10:00:49,567 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.1.1
2017-06-02T10:00:49,567 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.1.1
2017-06-02T10:00:49,567 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.1.1
2017-06-02T10:00:49,567 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.1.1
2017-06-02T10:00:49,567 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.1.1
2017-06-02T10:00:49,568 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.1.1
2017-06-02T10:00:49,568 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.1.1
2017-06-02T10:00:49,568 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.1.1
2017-06-02T10:00:49,568 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.1.1
2017-06-02T10:00:49,568 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.1.1
2017-06-02T10:00:49,568 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.console/4.1.1
2017-06-02T10:00:49,569 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.1.1
2017-06-02T10:00:49,569 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.1.1
2017-06-02T10:00:49,569 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.table/4.1.1
2017-06-02T10:00:49,569 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.1.1
2017-06-02T10:00:49,569 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2017-06-02T10:00:49,570 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.apache.sshd/sshd-core/1.4.0
2017-06-02T10:00:49,570 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.fusesource.jansi/jansi/1.14
2017-06-02T10:00:49,570 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.jline/jline/3.2.0
2017-06-02T10:00:49,570 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.ow2.asm/asm-all/5.2
2017-06-02T10:00:49,570 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.ops4j.pax.url/pax-url-aether/2.5.2
2017-06-02T10:00:49,571 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.5.2/jar/uber
2017-06-02T10:00:49,572 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 | Installing bundles:
2017-06-02T10:00:49,572 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2017-06-02T10:00:49,585 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.1.0
2017-06-02T10:00:49,597 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.8.0
2017-06-02T10:00:49,612 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2017-06-02T10:00:49,625 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.1.5
2017-06-02T10:00:49,637 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.1.5
2017-06-02T10:00:49,648 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.7
2017-06-02T10:00:49,661 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.1.5
2017-06-02T10:00:49,674 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.0
2017-06-02T10:00:49,687 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.aries/org.apache.aries.util/1.1.3
2017-06-02T10:00:49,700 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.1.1
2017-06-02T10:00:49,712 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.1.1
2017-06-02T10:00:49,725 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.1.1
2017-06-02T10:00:49,737 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.1.1
2017-06-02T10:00:49,749 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.1.1
2017-06-02T10:00:49,762 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.1.1
2017-06-02T10:00:49,774 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.1.1
2017-06-02T10:00:49,785 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.1.1
2017-06-02T10:00:49,797 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf/org.apache.karaf.event/4.1.1
2017-06-02T10:00:49,810 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.1.1
2017-06-02T10:00:49,822 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.1.1
2017-06-02T10:00:49,835 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.1.1
2017-06-02T10:00:49,847 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.1.1
2017-06-02T10:00:49,859 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.1.1
2017-06-02T10:00:49,871 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.1.1
2017-06-02T10:00:49,887 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.1.1
2017-06-02T10:00:49,900 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.1.1
2017-06-02T10:00:49,913 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.1.1
2017-06-02T10:00:49,930 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.1.1
2017-06-02T10:00:49,942 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.1.1
2017-06-02T10:00:49,955 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.1.1
2017-06-02T10:00:49,967 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.console/4.1.1
2017-06-02T10:00:49,989 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.1.1
2017-06-02T10:00:50,004 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.1.1
2017-06-02T10:00:50,016 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.table/4.1.1
2017-06-02T10:00:50,027 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.1.1
2017-06-02T10:00:50,039 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2017-06-02T10:00:50,052 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.apache.sshd/sshd-core/1.4.0
2017-06-02T10:00:50,071 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.fusesource.jansi/jansi/1.14
2017-06-02T10:00:50,084 | INFO  | pool-3-thread-1  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.1.1 |   mvn:org.jline/jline/3.2.0
